Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Tab,Datamodel,Mapping
rw_dev_webserver_en,WebServer: AP Enable,Instructs whether the device should create an access point for users who wish to download data from the device using the internal web server.,rw,bool,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_webserver_en
rw_dev_wifi_ap_channel,WebServer: WiFi AP Channel,Specifies the Wi-Fi channel that the Smart Spot uses to set up the web server's access point.,rw,uint8_t,dimensionless,1,11,No,Device.Connectivity.WiFi,Device,rw_dev_wifi_ap_channel
rw_dev_wifi_ap_ssid,WebServer: WiFi AP SSID,Specifies the Wi-Fi SSID that the Smart Spot uses to set up the web server's access point.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_wifi_ap_ssid
rw_dev_wifi_ap_password,WebServer: WiFi AP password,Specifies the Wi-Fi password that the Smart Spot uses to set up the web server's access point.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_wifi_ap_password
rw_dev_m2m_apn,APN,Specifies the APN (Access Point Name) that the Smart Spot will use to connect to the internet via M2M.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,rw_dev_m2m_apn
rw_dev_m2m_apn_login,APN Login,Specifies the APN (Access Point Name) login that the Smart Spot will use to connect to the internet via M2M.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,rw_dev_m2m_apn_login
rw_dev_m2m_apn_password,APN Password,Specifies the APN (Access Point Name) password that the Smart Spot will use to connect to the internet via M2M.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,rw_dev_m2m_apn_password
rw_dev_m2m_sim_pin,SIM PIN,Specifies the SIM PIN used to unlock the SIM card if a PIN is required.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,rw_dev_m2m_sim_pin
r_dev_m2m_tech,Modem Technology,Modem Technology,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemTechnolgy
r_dev_m2m_model,Modem Model,Modem Model,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemModel
r_dev_m2m_fw,Modem firmware version,Modem Firmware Version,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemFirmwareVersion
r_dev_m2m_iccid,SIM ICCID,SIM ICCID,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,simICCID
r_dev_m2m_imei,Modem IMEI,Modem IMEI,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemIMEI
r_dev_m2m_op,Operator,Operator,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,operator
r_dev_m2m_rsrq,RSRQ,RSRQ value,r,float,dB,N/A,N/A,No,Device.Connectivity.M2M,Device,rsrq
r_dev_lwan_ver,Version,LoRaWAN Version,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.LoRaWAN,Device,loraWANVersion
r_dev_lwan_class,Class,Class,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.LoRaWAN,Device,loraWANClass
r_dev_lwan_deveui,DevEUI,DevEUI,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.LoRaWAN,Device,devEUI
r_dev_3p_reporting_status,Third Party Protocol Reporting Status,Third party protocol reporting status,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,3pReportingStatus
r_aqo_ts,Timestamp,Timestamp AQO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Air Quality,AirQualityObserved,dateObserved
rw_aqo_core_ai_endpoint,Air Quality Endpoint,Specifies the URL endpint used by the SmartSpot to reach the Air Quality Enhancement Service.,rw,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_core_ai_endpoint
rw_aqo_core_ai_extra_params,Air Quality AI Extra Parameters,specifies the additional parameters to be included when the SmartSpot queries the Air Quality Enhancement Service.,rw,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_core_ai_extra_params
rw_aqo_core_pump_speed,Air Pump Speed,Specifies the speed of the pump used to measure air quality. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,255,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_core_pump_speed
r_aqo_core_pump_health,Pump Health Status,Pump health status,r,uint16_t,dimensionless,N/A,N/A,No,Sensors.Air Quality,AirQualityObserved,aqPumpHealth
r_aqo_core_temp,Core Temperature,Core temperature,r,float,Celsius,-40,125,No,Sensors.Air Quality,AirQualityObserved,temperature
r_aqo_core_hum,Core Humidity,Core humidity,r,float,%,0,100,No,Sensors.Air Quality,AirQualityObserved,relativeHumidity
r_aqo_no2crdId,NO2 Cartridge ID,NO2 Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,no2CId
r_aqo_no2temp,NO2 Sensor Temperature,NO2 Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,no2SenTemp
r_aqo_no2we,NO2 WE,NO2 WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,no2We
r_aqo_no2ae,NO2 AE,NO2 AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,no2Ae
r_aqo_no2_devwe,NO2 WE deviation,NO2 WE deviation,r,float,mV,-1000,1000,Yes,Sensors.Air Quality,AirQualityObserved,no2WeDev
r_aqo_no2_devae,NO2 AE deviation,NO2 AE deviation,r,float,mV,-1000,1000,Yes,Sensors.Air Quality,AirQualityObserved,no2AeDev
rw_aqo_no2_eq,NO2 Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_no2_eq
r_aqo_oxcrdId,OX Cartridge ID,OX Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,oxCId
r_aqo_oxtemp,OX Sensor Temperature,OX Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,oxSenTemp
r_aqo_oxwe,OX WE,OX WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,oxWe
r_aqo_oxae,OX AE,OX AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,oxAe
r_aqo_ox_devwe,OX WE deviation,OX WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,oxWeDev
r_aqo_ox_devae,OX AE deviation,OX AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,oxAeDev
rw_aqo_o3_eq,O3 Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_o3_eq
r_aqo_nocrdId,NO Cartridge ID,NO Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,noCId
r_aqo_notemp,NO Sensor Temperature,NO Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,noSenTemp
r_aqo_nowe,NO WE,NO WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,noWe
r_aqo_noae,NO AE,NO AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,noAe
r_aqo_no_devwe,NO WE deviation,NO WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,noWeDev
r_aqo_no_devae,NO AE deviation,NO AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,noAeDev
rw_aqo_no_eq,NO Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_no_eq
r_aqo_cocrdId,CO Cartridge ID,CO Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,coCId
r_aqo_cotemp,CO Sensor Temperature,CO Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,coSenTemp
r_aqo_cowe,CO WE,CO WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,coWe
r_aqo_coae,CO AE,CO AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,coAe
r_aqo_co_devwe,CO WE deviation,CO WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,coWeDev
r_aqo_co_devae,CO AE deviation,CO AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,coAeDev
rw_aqo_co_eq,CO Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_co_eq
r_aqo_so2crdId,SO2 Cartridge ID,SO2 Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,so2CId
r_aqo_so2temp,SO2 Sensor Temperature,SO2 Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,so2SenTemp
r_aqo_so2we,SO2 WE,SO2 WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,so2We
r_aqo_so2ae,SO2 AE,SO2 AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,so2Ae
r_aqo_so2_devwe,SO2 WE deviation,SO2 WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,so2WeDev
r_aqo_so2_devae,SO2 AE deviation,SO2 AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,so2AeDev
rw_aqo_so2_eq,SO2 Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_so2_eq
r_aqo_h2scrdId,H2S Cartridge ID,H2S Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,h2sCId
r_aqo_h2stemp,H2S Sensor Temperature,H2S Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,h2sSenTemp
r_aqo_h2swe,H2S WE,H2S WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,h2sWe
r_aqo_h2sae,H2S AE,H2S AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,h2sAe
r_aqo_h2s_devwe,H2S WE deviation,H2S WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,h2sWeDev
r_aqo_h2s_devae,H2S AE deviation,H2S AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,h2sAeDev
rw_aqo_h2s_eq,H2S Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_h2s_eq
r_aqo_nh3crdId,NH3 Cartridge ID,NH3 Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,nh3CId
r_aqo_nh3temp,NH3 Sensor Temperature,NH3 Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,nh3SenTemp
r_aqo_nh3we,NH3 WE,NH3 WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,nh3We
r_aqo_nh3ae,NH3 AE,NH3 AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,nh3Ae
r_aqo_nh3_devwe,NH3 WE deviation,NH3 WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,nh3WeDev
r_aqo_nh3_devae,NH3 AE deviation,NH3 AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,nh3AeDev
rw_aqo_nh3_eq,NH3 Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_nh3_eq
r_aqo_cl2crdId,CL2 Cartridge ID,CL2 Cartride ID,r,string,dimensionless,N/A,N/A,Yes,Sensors.Air Quality,AirQualityObserved,cl2CId
r_aqo_cl2temp,CL2 Sensor Temperature,CL2 Sensor Temperature,r,float,Celsius,-30,50,Yes,Sensors.Air Quality,AirQualityObserved,cl2SenTemp
r_aqo_cl2we,CL2 WE,CL2 WE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,cl2We
r_aqo_cl2ae,CL2 AE,CL2 AE,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,cl2Ae
r_aqo_cl2_devwe,CL2 WE deviation,CL2 WE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,cl2WeDev
r_aqo_cl2_devae,CL2 AE deviation,CL2 AE deviation,r,float,mV,0,1000,Yes,Sensors.Air Quality,AirQualityObserved,cl2AeDev
rw_aqo_cl2_eq,CL2 Source,Specifies the concentration calculation source for this sensor. This value is established during the manufacturing or maintenance process.,rw,uint8_t,dimensionless,0,7,Yes,Sensors.Air Quality,AirQualityObserved,rw_aqo_cl2_eq
r_aqo_no2,NO2,NO2,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,no2
rw_aqo_no2_off,NO2 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_no2_off
rw_aqo_no2_gain,NO2 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_no2_gain
r_aqo_o3,O3,O3,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,o3
rw_aqo_o3_off,O3 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_o3_off
rw_aqo_o3_gain,O3 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_o3_gain
r_aqo_co,CO,CO,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,co
rw_aqo_co_off,CO Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_co_off
rw_aqo_co_gain,CO Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_co_gain
r_aqo_so2,SO2,SO2,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,so2
rw_aqo_so2_off,SO2 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_so2_off
rw_aqo_so2_gain,SO2 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_so2_gain
r_aqo_no,NO,NO,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,no
rw_aqo_no_off,NO Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_no_off
rw_aqo_no_gain,NO Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_no_gain
r_aqo_h2s,H2S,H2S,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,h2s
rw_aqo_h2s_off,H2S Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_h2s_off
rw_aqo_h2s_gain,H2S Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_h2s_gain
r_aqo_nh3,NH3,NH3,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,nh3
rw_aqo_nh3_off,NH3 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_nh3_off
rw_aqo_nh3_gain,NH3 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_nh3_gain
r_aqo_cl2,CL2,CL2,r,float,ug/m3,0,1000,No,Sensors.Air Quality,AirQualityObserved,cl2
rw_aqo_cl2_off,CL2 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_cl2_off
rw_aqo_cl2_gain,CL2 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_cl2_gain
r_aqo_co2,CO2,CO2,r,float,ug/m3,0,5000,No,Sensors.Air Quality,AirQualityObserved,co2
rw_aqo_co2_off,CO2 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-1000,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_co2_off
rw_aqo_co2_gain,CO2 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,1000,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_co2_gain
r_aqo_voc,VOC,VOC,r,float,ug/m3,0,40000,No,Sensors.Air Quality,AirQualityObserved,volatileOrganicCompoundsTotal
rw_aqo_voc_off,VOC Offset,Specifies a electronic offset configured specifically for this sensor. This value is established during the manufacturing or maintenance process.,rw,float,mV,0,255,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_voc_off
rw_aqo_voc_sen,VOC Sensitivity,Specifies a concentration sensitivity configured specifically for this sensor. This value is established during the manufacturing or maintenance process.,rw,float,dimensionless,0,10,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_voc_sen
r_aqo_pm1,PM1,PM1,r,float,ug/m3,0,2000,No,Sensors.Air Quality,AirQualityObserved,pm1
rw_aqo_pm1_off,PM1 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-500,500,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm1_off
rw_aqo_pm1_gain,PM1 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,100,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm1_gain
r_aqo_pm25,PM2.5,PM2.5,r,float,ug/m3,0,2000,No,Sensors.Air Quality,AirQualityObserved,pm25
rw_aqo_pm25_off,PM2.5 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-500,500,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm25_off
rw_aqo_pm25_gain,PM2.5 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,100,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm25_gain
r_aqo_pm4,PM4,PM4,r,float,ug/m3,0,2000,No,Sensors.Air Quality,AirQualityObserved,pm4
rw_aqo_pm4_off,PM4 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-500,500,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm4_off
rw_aqo_pm4_gain,PM4 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,100,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm4_gain
