Command,Name,Description,Operations,Data type,Units,Min,Max,Internal
r_ble_serial_1,BLE scan serial for Parking Tag 1,BLE scan serial for Parking Tag 1,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_2,BLE scan serial for Parking Tag 2,BLE scan serial for Parking Tag 2,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_3,BLE scan serial for Parking Tag 3,BLE scan serial for Parking Tag 3,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_4,BLE scan serial for Parking Tag 4,BLE scan serial for Parking Tag 4,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_serial_5,BLE scan serial for Parking Tag 5,BLE scan serial for Parking Tag 5,r,uint8_t,dimensionless,N/A,N/A,No
r_ble_rssi_1,BLE scan RSSI for Parking Tag 1,BLE scan RSSI for Parking Tag 1,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_2,BLE scan RSSI for Parking Tag 2,BLE scan RSSI for Parking Tag 2,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_3,BLE scan RSSI for Parking Tag 3,BLE scan RSSI for Parking Tag 3,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_4,BLE scan RSSI for Parking Tag 4,BLE scan RSSI for Parking Tag 4,r,int8_t,dbm,N/A,N/A,No
r_ble_rssi_5,BLE scan RSSI for Parking Tag 5,BLE scan RSSI for Parking Tag 5,r,int8_t,dbm,N/A,N/A,No
w_snd_con_stat,Request connection status,Send connection status,w,bool,dimensionless,N/A,N/A,No
w_headers,HTTP headers,HTTP headers for DLM,w,string,dimensionless,N/A,N/A,Yes
w_new_ts,Set new timestamp,Update timestamp,w,uint32_t,timestamp,N/A,N/A,No
w_snd_cfg,Request configuration,Send device configuration,w,bool,dimensionless,N/A,N/A,No
w_snd_rpt,Report request,Force to send node sync report,w,bool,dimensionless,N/A,N/A,No
w_bstrap,Launch bootstrapping,Force bootstrap connection,w,bool,dimensionless,N/A,N/A,Yes
w_ota,Check device OTA,Check for device OTA update,w,bool,dimensionless,N/A,N/A,Yes
w_ota_radio,Check radio OTA,Check for radio OTA update,w,bool,dimensionless,N/A,N/A,Yes
w_rbt,Reboot device,Reboot the device,w,bool,dimensionless,N/A,N/A,No
w_radio_rbt,Reboot radio,Reboot the radio module,w,bool,dimensionless,N/A,N/A,No
w_off,Deactivate device,Node deactivation: permanent sleep until 3 resets,w,bool,dimensionless,N/A,N/A,No
w_off_days,Deactivate device for X days,Node deactivation: permanent sleep until 3 resets or X days elapsed,w,uint8_t,dimensionless,N/A,N/A,No
